Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/transliterate/bn-IN,110,0,220.0,218.341496363097,191.5222000097856,306.5495000046212,133.0,0.617538325769403,0.0,220,220,220,230,240,250,290,290,310,310,310
POST,/transliterate/gu-IN,83,0,240.0,240.63685903601288,207.80660001037177,342.07969999988563,138.0,0.4659607367169132,0.0,240,240,250,250,260,270,310,340,340,340,340
POST,/transliterate/hi-IN,97,0,230.0,238.57291546390996,209.78639999520965,367.3776000068756,137.0,0.544556523633019,0.0,230,240,240,250,260,280,330,370,370,370,370
POST,/transliterate/kn-IN,111,0,220.0,219.9275783784394,192.1308000019053,314.04870000551455,134.0,0.6231523105491248,0.0,220,220,230,230,240,250,260,260,310,310,310
POST,/transliterate/mr-IN,99,0,230.0,232.7276212114763,200.40689999586903,550.2761999960057,136.0,0.5557844931924627,0.0,230,230,230,240,260,320,340,550,550,550,550
POST,/transliterate/pa-IN,95,0,240.0,238.4368136839169,211.6571000078693,328.052500000922,137.0,0.5333285540735753,0.0,240,240,240,250,260,270,320,330,330,330,330
POST,/transliterate/ta-IN,100,0,210.0,222.46638199925655,190.8014000073308,357.31039999518543,131.0,0.5613984779721846,0.0,210,220,230,230,240,310,350,360,360,360,360
POST,/transliterate/te-IN,107,0,220.0,223.31418878552242,194.39750000310596,297.01460000069346,132.0,0.6006963714302375,0.0,220,220,230,240,250,270,280,290,300,300,300
,Aggregated,802,0,220.0,228.64930935139725,190.8014000073308,550.2761999960057,134.60099750623442,4.50241579333692,0.0,220,230,240,240,250,270,310,330,550,550,550
