Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/transliterate/bn-IN,2,0,204.21899999200832,310.141099995235,204.21899999200832,416.06319999846164,133.0,0.03605512427216307,0.0,420,420,420,420,420,420,420,420,420,420,420
POST,/transliterate/gu-IN,2,0,220.0,233.07714999828022,218.24740000010934,247.9068999964511,138.0,0.03605512427216307,0.0,250,250,250,250,250,250,250,250,250,250,250
POST,/transliterate/hi-IN,2,0,222.51859999960288,224.89425000094343,222.51859999960288,227.26990000228398,137.0,0.03605512427216307,0.0,230,230,230,230,230,230,230,230,230,230,230
POST,/transliterate/kn-IN,6,0,200.0,220.43728333422527,193.99220000195783,260.5846999940695,134.0,0.1081653728164892,0.0,210,210,260,260,260,260,260,260,260,260,260
POST,/transliterate/mr-IN,6,0,220.0,224.37984999608793,211.01379999890924,236.73689999850467,136.0,0.1081653728164892,0.0,230,230,230,230,240,240,240,240,240,240,240
POST,/transliterate/pa-IN,2,0,250.0,250.95544999931008,248.5925000073621,253.31839999125805,137.0,0.03605512427216307,0.0,250,250,250,250,250,250,250,250,250,250,250
POST,/transliterate/ta-IN,3,0,220.0,218.92056666547433,214.52619999763556,221.83229999791365,131.0,0.0540826864082446,0.0,220,220,220,220,220,220,220,220,220,220,220
POST,/transliterate/te-IN,2,0,210.0,319.8492500014254,208.1398000009358,431.558700001915,132.0,0.03605512427216307,0.0,430,430,430,430,430,430,430,430,430,430,430
,Aggregated,25,0,220.0,240.1399559987476,193.99220000195783,431.558700001915,134.68,0.4506890534020384,0.0,220,230,250,250,260,420,430,430,430,430,430
