Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/transliterate/bn-IN,17,0,230.0,229.08168823735596,196.46300000022165,277.46460000344086,133.0,0.2911681805425818,0.0,230,240,240,250,270,280,280,280,280,280,280
POST,/transliterate/gu-IN,16,0,240.0,260.6153124997945,218.80410000449046,382.4303000001237,138.0,0.27404064051066523,0.0,240,250,270,270,360,380,380,380,380,380,380
POST,/transliterate/hi-IN,16,0,240.0,250.2472937503626,225.61500000301749,340.02080000936985,137.0,0.27404064051066523,0.0,240,250,260,260,260,340,340,340,340,340,340
POST,/transliterate/kn-IN,13,0,220.0,222.94038461292914,198.10739999229554,241.72259999613743,134.0,0.2226580204149155,0.0,220,230,230,240,240,240,240,240,240,240,240
POST,/transliterate/mr-IN,17,0,240.0,254.01781764744288,208.21740000974387,427.0808000001125,136.0,0.2911681805425818,0.0,240,240,250,270,350,430,430,430,430,430,430
POST,/transliterate/pa-IN,11,0,250.0,259.28747272436425,222.0923999993829,387.3667000007117,137.0,0.18840294035108235,0.0,250,260,260,260,270,390,390,390,390,390,390
POST,/transliterate/ta-IN,19,0,220.0,225.01993684272747,191.82500000169966,246.63629999849945,131.0,0.32542326060641497,0.0,220,230,230,230,240,250,250,250,250,250,250
POST,/transliterate/te-IN,22,0,220.0,226.42643636341248,204.86800000071526,265.3488999931142,132.0,0.3768058807021647,0.0,220,230,230,230,240,250,270,270,270,270,270
,Aggregated,131,0,230.0,239.64611374035937,191.82500000169966,427.0808000001125,134.46564885496184,2.2437077441810716,0.0,230,240,250,250,270,300,380,390,430,430,430
