Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1749220054,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1749220055,2,,Aggregated,0.000000,0.000000,200,200,200,200,200,200,200,200,200,200,200,3,3,200.0,154.6066999968995,65.18759999016766,203.43349999166094,119.0
1749220056,3,,Aggregated,0.000000,0.000000,180,200,200,200,200,200,200,200,200,200,200,5,5,180.0,143.38755999633577,65.18759999016766,203.43349999166094,119.0
1749220057,3,,Aggregated,0.000000,0.000000,68,180,200,200,200,200,200,200,200,200,200,7,7,68,120.8160714242175,64.2669999942882,203.43349999166094,119.0
1749220058,3,,Aggregated,2.000000,2.000000,65,68,180,200,200,200,200,200,200,200,200,9,9,65,108.41151110879663,64.2669999942882,203.43349999166094,119.0
1749220059,3,,Aggregated,2.000000,2.000000,68,69,180,200,200,200,200,200,200,200,200,10,10,65,104.44858999690041,64.2669999942882,203.43349999166094,119.0
1749220060,3,,Aggregated,2.250000,2.250000,68,83,110,180,200,200,200,200,200,200,200,13,13,68,100.51212307343332,64.2669999942882,203.43349999166094,119.0
1749220061,3,,Aggregated,2.250000,2.250000,68,83,110,180,200,200,200,200,200,200,200,13,13,68,100.51212307343332,64.2669999942882,203.43349999166094,119.0
1749220062,3,,Aggregated,2.000000,2.000000,68,69,110,180,200,200,200,200,200,200,200,15,15,68,95.77780666392452,64.2669999942882,203.43349999166094,119.0
1749220063,3,,Aggregated,1.857143,1.857143,67,69,83,110,200,200,200,200,200,200,200,17,17,67,92.30034705593853,64.2669999942882,203.43349999166094,119.0
1749220064,3,,Aggregated,1.875000,1.875000,67,68,83,110,200,200,200,200,200,200,200,20,20,67,88.45973499846878,64.2669999942882,203.43349999166094,119.0
1749220065,3,,Aggregated,1.875000,1.875000,67,68,69,83,180,200,200,200,200,200,200,21,21,67,87.3197904743609,64.2669999942882,203.43349999166094,119.0
1749220066,3,,Aggregated,1.800000,1.800000,67,68,76,83,180,200,200,200,200,200,200,24,24,67,85.21089583155117,64.2669999942882,203.43349999166094,119.0
1749220067,3,,Aggregated,1.800000,1.800000,67,68,76,83,180,200,200,200,200,200,200,24,24,67,85.21089583155117,64.2669999942882,203.43349999166094,119.0
1749220068,3,,Aggregated,1.700000,1.700000,67,68,69,76,180,200,200,200,200,200,200,26,26,67,83.63811538248018,61.94409998715855,203.43349999166094,119.0
1749220069,3,,Aggregated,1.700000,1.700000,67,68,69,76,180,200,200,200,200,200,200,28,28,67,82.45377142676651,61.94409998715855,203.43349999166094,119.0
1749220070,3,,Aggregated,1.600000,1.600000,67,68,68,69,110,200,200,200,200,200,200,32,32,67,80.32771874877653,61.94409998715855,203.43349999166094,119.0
1749220071,3,,Aggregated,1.800000,1.800000,67,67,68,69,110,200,200,200,200,200,200,34,34,66,79.4104529400904,61.94409998715855,203.43349999166094,119.0
1749220072,3,,Aggregated,1.900000,1.900000,67,68,68,75,110,200,200,200,200,200,200,35,35,67,79.27703999905914,61.94409998715855,203.43349999166094,119.0
1749220073,3,,Aggregated,1.900000,1.900000,66,67,68,69,110,200,200,200,200,200,200,37,37,66,78.52612162084394,61.94409998715855,203.43349999166094,119.0
1749220074,3,,Aggregated,1.900000,1.900000,66,67,68,69,110,200,200,200,200,200,200,39,39,66,77.79928717914467,61.94409998715855,203.43349999166094,119.0
1749220075,3,,Aggregated,2.000000,2.000000,66,67,68,68,83,180,200,200,200,200,200,41,41,66,77.19956829266555,61.94409998715855,203.43349999166094,119.0
1749220076,3,,Aggregated,1.900000,1.900000,66,67,68,68,83,180,200,200,200,200,200,42,42,66,76.91718809517278,61.94409998715855,203.43349999166094,119.0
1749220077,3,,Aggregated,1.900000,1.900000,66,67,68,68,83,180,200,200,200,200,200,43,43,66,76.70006744169663,61.94409998715855,203.43349999166094,119.0
1749220078,3,,Aggregated,2.000000,2.000000,66,67,68,69,83,180,200,200,200,200,200,46,46,66,76.12128260845328,61.94409998715855,203.43349999166094,119.0
1749220079,3,,Aggregated,1.900000,1.900000,66,67,68,69,83,180,200,200,200,200,200,48,48,66,75.81078958295014,61.94409998715855,203.43349999166094,119.0
1749220080,3,,Aggregated,1.900000,1.900000,66,67,68,69,83,180,200,200,200,200,200,50,50,66,75.41363199998159,61.94409998715855,203.43349999166094,119.0
1749220081,3,,Aggregated,1.900000,1.900000,66,67,68,69,76,180,200,200,200,200,200,53,53,66,74.93971886782126,61.94409998715855,203.43349999166094,119.0
1749220082,3,,Aggregated,1.800000,1.800000,66,67,68,69,76,180,200,200,200,200,200,55,55,66,74.50184909050057,61.31349998759106,203.43349999166094,119.0
1749220083,3,,Aggregated,1.800000,1.800000,66,67,68,69,76,180,200,200,200,200,200,57,57,66,74.16119473667717,61.31349998759106,203.43349999166094,119.0
1749220084,3,,Aggregated,2.000000,2.000000,66,67,68,69,76,180,200,200,200,200,200,60,60,66,73.79083333338106,61.31349998759106,203.43349999166094,119.0
1749220085,3,,Aggregated,2.100000,2.100000,66,67,68,69,75,110,200,200,200,200,200,61,61,66,73.66421147555945,61.31349998759106,203.43349999166094,119.0
1749220086,3,,Aggregated,2.100000,2.100000,66,67,68,69,75,110,200,200,200,200,200,64,64,66,73.31614218765026,61.31349998759106,203.43349999166094,119.0
1749220087,3,,Aggregated,2.000000,2.000000,66,67,68,69,75,110,200,200,200,200,200,65,65,66,73.23400615401064,61.31349998759106,203.43349999166094,119.0
1749220088,3,,Aggregated,2.100000,2.100000,66,67,68,69,75,110,200,200,200,200,200,68,68,66,72.89861911746866,61.31349998759106,203.43349999166094,119.0
1749220089,3,,Aggregated,2.100000,2.100000,66,67,68,69,75,110,200,200,200,200,200,68,68,66,72.89861911746866,61.31349998759106,203.43349999166094,119.0
1749220090,3,,Aggregated,2.200000,2.200000,66,67,68,69,72,110,200,200,200,200,200,71,71,66,72.62462676026445,61.31349998759106,203.43349999166094,119.0
1749220091,3,,Aggregated,2.100000,2.100000,66,67,68,69,72,110,200,200,200,200,200,73,73,66,72.43301506829607,61.31349998759106,203.43349999166094,119.0
1749220092,3,,Aggregated,2.100000,2.100000,66,67,68,69,72,110,200,200,200,200,200,75,75,66,72.25547333306167,61.31349998759106,203.43349999166094,119.0
1749220093,3,,Aggregated,2.100000,2.100000,66,67,68,68,72,110,200,200,200,200,200,77,77,66,72.05229740236075,61.31349998759106,203.43349999166094,119.0
1749220094,3,,Aggregated,1.900000,1.900000,66,67,68,69,72,110,200,200,200,200,200,80,80,66,71.89488999956666,61.31349998759106,203.43349999166094,119.0
1749220095,3,,Aggregated,2.000000,2.000000,66,67,68,69,71,83,200,200,200,200,200,83,83,66,71.73132771048947,61.31349998759106,203.43349999166094,119.0
1749220096,3,,Aggregated,2.100000,2.100000,66,67,68,69,72,83,200,200,200,200,200,85,85,66,71.76938352914637,61.31349998759106,203.43349999166094,119.0
1749220097,3,,Aggregated,2.200000,2.200000,66,67,68,69,72,83,200,200,200,200,200,86,86,66,71.71739069751713,61.31349998759106,203.43349999166094,119.0
1749220098,3,,Aggregated,2.200000,2.200000,66,67,68,69,72,83,200,200,200,200,200,88,88,66,71.65334318167218,61.31349998759106,203.43349999166094,119.0
1749220099,3,,Aggregated,2.100000,2.100000,66,67,68,69,72,83,200,200,200,200,200,91,91,66,71.48279230750632,61.31349998759106,203.43349999166094,119.0
1749220100,3,,Aggregated,2.100000,2.100000,66,67,68,69,72,83,200,200,200,200,200,91,91,66,71.48279230750632,61.31349998759106,203.43349999166094,119.0
1749220101,3,,Aggregated,2.200000,2.200000,66,67,68,69,72,83,200,200,200,200,200,94,94,66,71.39817340422714,61.31349998759106,203.43349999166094,119.0
1749220102,3,,Aggregated,2.200000,2.200000,66,67,68,69,72,83,200,200,200,200,200,95,95,66,71.35069789456841,61.31349998759106,203.43349999166094,119.0
1749220103,3,,Aggregated,2.200000,2.200000,66,67,68,69,72,83,200,200,200,200,200,97,97,66,71.2243092781024,61.31349998759106,203.43349999166094,119.0
1749220104,3,,Aggregated,2.200000,2.200000,66,67,68,69,75,83,200,200,200,200,200,100,100,66,71.14922799984924,61.31349998759106,203.43349999166094,119.0
1749220105,3,,Aggregated,2.000000,2.000000,66,67,68,69,72,78,180,200,200,200,200,103,103,66,70.96216213596686,61.31349998759106,203.43349999166094,119.0
1749220106,3,,Aggregated,1.900000,1.900000,66,67,68,69,72,78,180,200,200,200,200,105,105,66,70.84181809540107,61.31349998759106,203.43349999166094,119.0
1749220107,3,,Aggregated,1.900000,1.900000,66,67,68,69,72,78,180,200,200,200,200,107,107,66,70.74018971976567,61.31349998759106,203.43349999166094,119.0
1749220108,3,,Aggregated,2.000000,2.000000,66,67,68,69,72,78,180,200,200,200,200,108,108,66,70.7174296297092,61.31349998759106,203.43349999166094,119.0
