Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/transliterate/bn-IN,36,0,220.0,225.65232777681862,194.8975999985123,395.3823000047123,133.0,0.6260858220659993,0.0,220,220,230,230,240,300,400,400,400,400,400
POST,/transliterate/gu-IN,26,0,240.0,254.31232307612214,209.91900000080932,383.47559999965597,138.0,0.4521730937143328,0.0,240,260,260,260,350,360,380,380,380,380,380
POST,/transliterate/hi-IN,25,0,240.0,241.06632000068203,219.2821000062395,269.96010000584647,137.0,0.4347818208791661,0.0,240,250,250,250,260,260,270,270,270,270,270
POST,/transliterate/kn-IN,26,0,220.0,219.7289307693539,197.39690001006238,304.82540000230074,134.0,0.4521730937143328,0.0,220,220,230,230,240,240,300,300,300,300,300
POST,/transliterate/mr-IN,31,0,220.0,223.83694838678028,202.381900002365,277.47780000208877,136.0,0.539129457890166,0.0,220,230,230,230,240,250,280,280,280,280,280
POST,/transliterate/pa-IN,38,0,240.0,240.52300789480796,218.09140000550542,309.90209999436047,137.0,0.6608683677363325,0.0,240,240,250,260,260,290,310,310,310,310,310
POST,/transliterate/ta-IN,23,0,220.0,251.83662608564507,200.41860001219902,507.26339999528136,131.0,0.3999992752088328,0.0,220,230,230,240,460,470,510,510,510,510,510
POST,/transliterate/te-IN,46,0,220.0,244.5895673913385,197.53760000457987,665.2340999862645,132.0,0.7999985504176657,0.0,220,230,230,230,320,390,670,670,670,670,670
,Aggregated,251,0,230.0,237.4398270913514,194.8975999985123,665.2340999862645,134.62948207171314,4.365209481626828,0.0,230,230,240,240,260,310,400,510,670,670,670
