Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/transliterate/bn-IN,420,238,86,139.69430857129433,57.79779999284074,429.2499000002863,136.4,1.4082547134625771,0.7980110042954603,86,210,220,220,240,250,260,290,430,430,430
POST,/transliterate/gu-IN,394,205,100.0,159.31655939069054,59.059600011096336,456.9264000019757,138.5203045685279,1.3210770407244175,0.6873624196662579,100,230,240,250,260,270,300,370,460,460,460
POST,/transliterate/hi-IN,474,263,92,151.92768628685565,58.219099999405444,428.2275000005029,138.10970464135022,1.5893160337649084,0.8818356896206138,93,230,240,250,260,270,280,360,430,430,430
POST,/transliterate/kn-IN,472,272,88,140.05489322076076,58.51770000299439,355.0004999997327,136.88135593220338,1.582610058938896,0.912012576337669,88,210,220,220,240,250,300,320,360,360,360
POST,/transliterate/mr-IN,420,249,88,145.44878023804077,57.080900005530566,922.3536000063177,137.77857142857144,1.4082547134625771,0.8348938658385279,88,220,230,230,250,270,320,350,920,920,920
POST,/transliterate/pa-IN,415,229,89,153.7311821685773,59.103300009155646,367.086800004472,138.10361445783133,1.3914897763975465,0.7678341175784051,89,230,240,250,260,280,300,310,370,370,370
POST,/transliterate/ta-IN,437,254,88,142.40425057244087,56.74210000142921,1208.1944000092335,135.64530892448514,1.4652554994836813,0.8516588029035586,88,210,220,220,240,250,280,310,1200,1200,1200
POST,/transliterate/te-IN,409,231,89,141.2599117359278,59.502899996005,339.8072999989381,135.95354523227383,1.3713718519195095,0.7745400924044173,89,210,220,220,240,250,270,300,340,340,340
,Aggregated,3441,1941,89,146.6012370241593,56.74210000142921,1208.1944000092335,137.1691368788143,11.537629688154114,6.50814856864491,89,220,230,240,250,260,290,330,430,1200,1200
