Method,Name,Error,Occurrences
POST,/transliterate/ta,CatchResponseError('Status code 404'),27
POST,/transliterate/mr,CatchResponseError('Status code 404'),26
POST,/transliterate/te,CatchResponseError('Status code 404'),20
POST,/transliterate/kn,CatchResponseError('Status code 404'),26
POST,/transliterate/bn,CatchResponseError('Status code 404'),23
POST,/transliterate/hi,CatchResponseError('Status code 404'),26
POST,/transliterate/gu,CatchResponseError('Status code 404'),19
POST,/transliterate/pa,CatchResponseError('Status code 404'),20
